cs_101_ocena,it_101_ocena,ma_101_ocena,cs115_izostanci,cs_115_polozen,cs_115_ocena
10,7,5,4,1,9
8,10,9,11,0,5
10,7,6,6,0,5
6,10,7,1,0,5
8,6,6,9,0,5
8,9,5,2,0,5
7,8,6,10,0,5
8,8,10,7,1,8
5,5,9,9,1,6
5,7,6,4,0,5
7,5,10,11,1,9
10,5,10,14,1,7
9,7,7,12,1,6
8,10,5,13,1,6
10,6,7,13,1,5
5,7,10,12,0,5
6,7,8,9,1,5
5,6,7,0,0,5
6,8,6,13,1,5
8,7,5,8,1,9
7,7,6,9,0,5
10,10,6,13,1,8
8,8,6,0,0,5
9,9,9,6,0,5
5,6,7,2,1,5
6,7,8,8,0,5
6,9,7,7,0,5
10,5,9,10,1,8
10,7,8,15,0,5
9,8,8,6,0,5
10,9,9,9,0,5
9,7,8,15,0,5
9,7,5,14,0,5
8,10,10,15,0,5
9,10,10,12,0,5
10,8,10,10,1,9
5,5,7,10,0,5
6,5,9,12,0,5
5,6,9,4,0,5
7,10,5,10,0,5
8,9,6,12,0,5
10,10,10,7,1,6
5,8,10,7,0,5
5,9,8,12,1,9
6,8,9,13,0,5
10,8,5,10,0,5
7,10,7,2,0,5
6,7,6,8,0,5
6,8,8,6,0,5
9,9,9,0,0,5
6,9,5,4,1,10
6,8,9,2,0,5
8,10,6,8,0,5
8,8,8,14,0,5
7,6,6,8,0,5
9,9,6,3,0,5
5,7,9,1,1,6
9,9,9,2,1,8
10,7,9,1,1,10
7,9,9,5,0,5
10,7,9,11,0,5
6,6,8,4,1,10
9,7,7,13,1,7
9,10,8,10,1,9
7,9,7,3,0,5
7,9,7,0,0,5
6,8,7,2,1,6
10,10,7,8,0,5
8,8,7,13,0,5
7,5,7,1,0,5
6,5,7,9,0,5
8,6,9,0,0,5
7,10,5,9,0,5
8,9,8,9,0,5
10,7,10,9,1,6
10,10,8,9,0,5
5,5,9,11,0,5
6,8,9,10,0,5
7,7,10,9,0,5
5,6,6,11,0,5
7,5,6,0,0,5
5,10,5,11,1,8
7,9,6,0,0,5
8,5,7,15,0,5
10,6,8,9,0,5
10,7,7,13,0,5
6,10,8,8,1,8
6,7,6,0,1,6
10,7,9,10,1,7
10,9,9,7,1,5
9,8,10,11,1,7
9,6,7,0,1,10
6,5,9,8,1,9
6,9,9,7,1,9
7,9,10,8,0,5
9,6,7,0,1,10
6,10,10,13,0,5
7,8,9,15,1,6
9,6,8,14,1,6
6,10,6,11,0,5
6,10,8,7,1,6
9,6,8,13,1,8
8,8,7,13,0,5
7,8,6,6,1,9
10,10,7,15,0,5
5,10,5,8,1,6
6,5,5,6,0,5
